test,distance [m],V photodiode [V], Sitting status success [T/F],Present status success [T/F]
1,0.31448275862069,5,1,1
2,0.281379310344828,4.99511241446725,1,1
3,0.313620689655172,5,1,1
4,0.393620689655172,4.99511241446725,1,1
5,0.34,4.99511241446725,1,1
6,0.288275862068965,5,1,1
7,0.443620689655172,5,1,1
8,0.353620689655172,5,1,1
9,0.371551724137931,5,1,1
10,0.34,4.99511241446725,1,1
11,0.146551724137931,5,1,1
12,0.137068965517241,5,1,1
13,0.233965517241379,5,1,1
14,0.228620689655172,5,1,1
15,0.163448275862069,5,1,1
16,0.0451724137931035,5,1,1
17,0.0943103448275862,5,1,1
18,0.0572413793103448,4.99511241446725,1,1
19,0.31448275862069,4.99511241446725,1,1
20,0.300344827586207,5,1,1
21,0.187068965517241,5,1,1
22,0.271379310344828,4.99511241446725,1,1
23,0.307758620689655,4.99511241446725,1,1
24,0.271379310344828,5,1,1
25,0.180344827586207,5,1,1
26,0.0332758620689655,5,1,1
27,0.161551724137931,5,1,1
28,0.362068965517241,5,1,1
29,0.262586206896552,4.99511241446725,1,1
30,0.201551724137931,5,1,1
31,0.367241379310345,5,1,1
32,0.201551724137931,5,1,1
33,0.265172413793103,5,1,1
34,0.0927586206896552,5,1,1
35,0.0393103448275862,5,1,1
36,0.281379310344828,4.99511241446725,1,1
37,0.426896551724138,4.99511241446725,1,1
38,0.460862068965517,5,1,1
39,0.334137931034483,5,1,1
40,0.263620689655172,4.99511241446725,1,1
41,0.300172413793103,5,1,1
42,0.351896551724138,4.99511241446725,1,1
43,0.352758620689655,5,1,1
44,0.239827586206897,5,1,1
45,0.38,5,1,1
46,0.12,5,1,1
47,0.292413793103448,5,1,1
48,0.342586206896552,5,1,1
49,0.205862068965517,5,1,1
50,0.0858620689655172,5,1,1
51,0.192241379310345,5,1,1
52,0.111379310344828,5,1,1
53,0.0893103448275862,5,1,1
54,0.164310344827586,4.99511241446725,1,1
55,0.245689655172414,4.99511241446725,1,1
56,0.158275862068966,4.99511241446725,1,1
57,0.235689655172414,5,1,1
58,0.248448275862069,5,1,1
59,0.142931034482759,5,1,1
60,0.174310344827586,4.99511241446725,1,1
61,0.245,5,1,1
62,0.206551724137931,5,1,1
63,0.0603448275862069,5,1,1
64,0.112241379310345,5,1,1
65,0.17948275862069,5,1,1
66,0.363103448275862,5,1,1
67,0.246551724137931,5,1,1
