test,distance [m],V photodiode [V], Sitting status success [T/F],Present status success [T/F]
1,0.746551724,3.758553275,1,1
2,0.720172414,3.782991202,1,1
3,0.711724138,3.817204301,1,1
4,0.746551724,3.768328446,1,1
5,0.737931034,3.758553275,1,1
6,0.711551724,3.856304985,1,1
7,0.707413793,3.89540567,1,1
8,0.715862069,3.797653959,1,1
9,0.711551724,3.758553275,1,1
10,0.703103448,3.841642229,1,1
11,0.707413793,3.89540567,1,1
12,0.715862069,3.802541544,1,1
13,0.732931034,3.773216031,1,1
14,0.702241379,3.846529814,1,1
15,0.716034483,3.831867058,1,1
16,0.733793103,3.670576735,1,1
17,0.731896552,3.787878788,1,1
18,0.732931034,3.680351906,1,1
19,0.732931034,3.773216031,1,1
20,0.723275862,3.758553275,1,1
21,0.711551724,3.797653959,1,1
22,0.72,3.753665689,1,1
23,0.732931034,3.880742913,1,1
24,0.731896552,3.890518084,1,1
25,0.711724138,3.802541544,1,1
26,0.720172414,3.778103617,1,1
27,0.725172414,3.71945259,1,1
28,0.724137931,3.856304985,1,1
29,0.733793103,3.826979472,1,1
30,0.695689655,3.660801564,1,1
31,0.703103448,3.748778104,1,1
32,0.711551724,3.841642229,1,1
33,0.736896552,3.89540567,1,1
34,0.73362069,3.680351906,1,1
35,0.73362069,3.792766373,1,1
36,0.750689655,3.699902248,1,1
37,0.737931034,3.866080156,1,1
38,0.732758621,3.866080156,1,1
39,0.737931034,3.758553275,1,1
40,0.737931034,3.792766373,1,1
41,0.741206897,3.870967742,1,1
42,0.712413793,3.919843597,1,1
43,0.732586207,3.670576735,1,1
44,0.71137931,3.782991202,1,1
45,0.712586207,3.680351906,1,1
46,0.716724138,3.792766373,1,1
47,0.725172414,3.817204301,1,1
48,0.729482759,3.812316716,1,1
49,0.720862069,3.787878788,1,1
50,0.712413793,3.704789834,1,1
51,0.712413793,3.870967742,1,1
52,0.712413793,3.910068426,1,1
53,0.737931034,3.792766373,1,1
54,0.720862069,3.734115347,1,1
55,0.708103448,3.831867058,1,1
56,0.707241379,3.900293255,1,1
57,0.712413793,3.822091887,1,1
58,0.72,3.792766373,1,1
59,0.736896552,3.792766373,1,1
60,0.716724138,3.782991202,1,1
61,0.708103448,3.841642229,1,1
62,0.708275862,3.797653959,1,1
63,0.721034483,3.724340176,1,1
64,0.695517241,3.797653959,1,1
65,0.738793103,3.905180841,1,1
66,0.703965517,3.739002933,1,1
67,0.738793103,3.743890518,1,1
68,0.699655172,3.773216031,1,1
69,0.733448276,3.8514174,1,1
70,0.713275862,3.753665689,1,1
71,0.717413793,3.787878788,1,1
72,0.734655172,3.704789834,1,1
73,0.741896552,3.768328446,1,1
74,0.721896552,3.80742913,1,1
75,0.699827586,3.797653959,1,1
76,0.730172414,3.729227761,1,1
77,0.682758621,3.831867058,1,1
78,0.726034483,3.905180841,1,1
79,0.708275862,3.729227761,1,1
80,0.699655172,3.729227761,1,1
81,0.734655172,3.753665689,1,1
82,0.734482759,3.875855327,1,1
83,0.699655172,3.812316716,1,1
84,0.712586207,3.670576735,1,1
85,0.730344828,3.743890518,1,1
86,0.717586207,3.89540567,1,1
87,0.691206897,3.802541544,1,1
88,0.734482759,3.792766373,1,1
89,0.708275862,3.817204301,1,1
90,0.717586207,3.89540567,1,1
91,0.703965517,3.812316716,1,1
92,0.699655172,3.758553275,1,1
93,0.738793103,3.699902248,1,1
94,0.699655172,3.846529814,1,1
95,0.730172414,3.822091887,1,1
96,0.726034483,3.685239492,1,1
97,0.734482759,3.782991202,1,1
98,0.695517241,3.748778104,1,1
99,0.699655172,3.910068426,1,1
100,0.708103448,3.66568915,1,1
101,0.691206897,3.660801564,1,1
102,0.707068966,3.734115347,1,1
103,0.712586207,3.792766373,1,1
104,0.699655172,3.80742913,1,1
105,0.708103448,3.787878788,1,1
106,0.768448276,3.778103617,1,1
107,0.703793103,3.792766373,1,1
108,0.703965517,3.797653959,1,1
109,0.738793103,3.80742913,1,1
110,0.751551724,3.900293255,1,1
111,0.751551724,3.709677419,1,1
112,0.737758621,3.748778104,1,1
113,0.734482759,3.797653959,1,1
