test,distance [m],V photodiode [V], Sitting status success [T/F],Present status success [T/F]
1,0.087413793,3.548387097,0,1
2,0.265862069,3.709677419,0,1
3,0.312413793,3.743890518,0,1
4,0.305689655,3.670576735,0,1
5,0.147068966,3.71945259,0,1
6,0.136724138,3.787878788,0,1
7,0.163275862,3.822091887,0,1
8,0.187758621,3.734115347,0,1
9,0.158793103,3.558162268,0,1
10,0.035,3.792766373,0,1
11,0.078103448,3.8514174,0,1
12,0.009482759,3.76344086,0,1
13,0.156206897,3.71945259,0,1
14,0.141206897,3.641251222,0,1
15,0.142758621,3.582600196,0,1
16,0.191206897,3.739002933,0,1
17,0.057068966,3.616813294,0,1
18,0.202241379,3.567937439,0,1
19,0.186896552,3.572825024,0,1
20,0.075689655,3.817204301,0,1
21,0.086034483,3.787878788,0,1
22,0.121724138,3.802541544,0,1
23,0.059482759,3.822091887,0,1
24,0.010344828,3.597262952,0,1
25,0.108103448,3.543499511,0,1
26,0.083448276,3.582600196,0,1
27,0.289482759,3.792766373,0,1
28,0.067241379,3.685239492,0,1
29,0.036724138,3.753665689,0,1
30,0.123103448,3.558162268,0,1
31,0.014655172,3.797653959,0,1
32,0.10362069,3.782991202,0,1
33,0.012931034,3.680351906,0,1
34,0.009310345,3.748778104,0,1
35,0.112241379,3.704789834,0,1
36,0.010344828,3.739002933,0,1
37,0.179310345,3.71945259,0,1
38,0.292241379,3.743890518,0,1
39,0.334482759,3.587487781,0,1
40,0.241206897,3.66568915,0,1
41,0.637413793,3.739002933,0,1
42,0.381206897,3.680351906,0,1
43,0.149482759,3.76344086,0,1
44,0.191206897,3.626588465,0,1
45,0.142068966,3.748778104,0,1
46,0.031724138,3.655913978,0,1
47,0.012758621,3.802541544,0,1
48,0.250517241,3.782991202,0,1
49,0.362413793,3.71945259,0,1
50,0.293793103,3.80742913,0,1
51,0.258103448,3.753665689,0,1
52,0.141896552,3.841642229,0,1
53,0.192758621,4.002932551,0,1
54,0.040862069,4.002932551,0,1
55,0.013793103,3.80742913,0,1
56,0.141034483,3.802541544,0,1
57,0.040172414,3.875855327,0,1
58,0.190172414,4.086021505,0,1
59,0.228448276,3.905180841,0,1
60,0.203965517,4.027370479,0,1
61,0.073275862,4.042033236,0,1
62,0.297241379,4.007820137,0,1
63,1.055,4.027370479,1,1
64,1.055172414,3.983382209,1,1
65,1.076206897,3.900293255,1,1
66,1.054137931,3.963831867,1,1
67,1.07637931,3.99315738,1,1
68,1.059310345,3.963831867,1,1
69,1.063275862,3.978494624,1,1
70,1.055,3.866080156,1,1
71,1.063448276,4.007820137,1,1
72,1.050862069,4.007820137,1,1
73,1.058448276,4.071358749,1,1
74,1.084827586,3.885630499,1,1
75,1.076206897,4.012707722,1,1
76,1.076206897,4.042033236,1,1
77,1.059310345,4.105571848,1,1
78,1.06362069,3.944281525,1,1
79,1.059310345,4.032258065,1,1
80,1.055,3.939393939,1,1
81,1.054137931,4.086021505,1,1
82,1.059310345,3.988269795,1,1
83,1.071206897,4.017595308,1,1
84,1.059137931,3.846529814,1,1
85,1.072068966,3.885630499,1,1
86,1.050862069,3.978494624,1,1
87,1.059310345,3.958944282,1,1
88,1.055172414,3.914956012,1,1
89,1.088793103,4.08113392,1,1
90,1.05,3.89540567,1,1
91,1.080517241,3.831867058,1,1
92,1.083965517,3.900293255,1,1
93,1.050689655,4.056695992,1,1
94,1.059310345,3.846529814,1,1
95,1.088103448,3.939393939,1,1
96,1.075344828,3.890518084,1,1
97,1.058448276,3.866080156,1,1
98,1.05862069,3.905180841,1,1
99,1.062758621,3.914956012,1,1
100,1.07137931,3.797653959,1,1
101,1.088275862,3.802541544,1,1
102,1.075689655,3.875855327,1,1
103,1.096724138,3.94916911,1,1
104,1.059310345,3.958944282,1,1
105,1.092586207,3.792766373,1,1
106,1.05,3.739002933,1,1
107,1.072068966,3.885630499,1,1
108,1.059310345,3.968719453,1,1
109,1.054137931,3.812316716,1,1
110,1.052068966,3.660801564,1,1
111,1.059310345,3.773216031,1,1
112,1.07637931,3.929618768,1,1
